"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7900009155273","","","","","","","","99.5899963378906","","99.7600021362305","99.7699966430664","99.7799987792969","99.7799987792969","99.7900009155273","99.7900009155273","99.7900009155273","99.7900009155273","99.7900009155273","","99.8000030517578","","","","99.7799987792969","",
"Burundi","BDI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","22.5100002288818","","","","","","","","","","","37.3800010681152","","","","","","","","","","59.2999992370605","","","","","","","","48.0800018310547","","","","","","61.2900009155273","","65.6900024414062","68.379997253418","","","71.4078166079164","","","","",
"Belgium","BEL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","16.4799995422363","","","","","","","","","","","","","27.25","","","","","","","","","","34.6599998474121","","","","","","","","","44.6748575499254","","45.0800018310547","","","","38.8699989318848","","49","","43.8300018310547","51.3800010681152","","",
"Burkina Faso","BFA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","8.82999992370605","","","","","","","","","","","","","","","","13.5699996948242","","","","","12.8500003814697","","","","","","","21.8199996948242","","23.5200004577637","22.4699993133545","27.8799991607666","","","","","","","34.5999984741211","","","","39.3499984741211","29.6599998474121","","36.9700012207031","40.9199981689453","41.442033530681","",
"Bangladesh","BGD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","29.2299995422363","","","","","","","","","","35.3199996948242","","","","","","","","","","47.4900016784668","","","","","","","","","","58.7700004577637","57.8600006103516","61.0200004577637","61.0900001525879","65.1399993896484","72.7600021362305","72.8899993896484","73.9100036621094","74.6800003051758","74.9100036621094","76.3600006103516","79","","",
"Bulgaria","BGR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.1999969482422","","","","","","","","","","98.3499984741211","","","","","","","","","","","","","",
"Bahrain","BHR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","69.75","","","","","","","","","","84.0100021362305","","","","","","","","","","86.5500030517578","","","","","","","","","","","","","","","","","","","","","97.870002746582","97.8499984741211","97.8199996948242",
"Bahamas, The","BHS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.0599975585938","","","","","","","","","96.6600036621094","","","","","","","","","","","","","96.9899978637695","","","","","","","","","","","",
